t,x,g_raw,g_ratio,alpha,gamma,loss,acc
0,0.127827204992093,18.979885975161213,3.4931491679556634,10.0,0.699999988079071,2.2105233669281006,0.0
1,0.12579482292023017,18.70255380182398,3.4472603240544375,10.0,0.699999988079071,2.201977252960205,0.0
2,0.11891645340564996,17.675360454800256,3.3859818809841777,10.0,0.699999988079071,2.164703845977783,0.0
3,0.12932066835661507,19.215155986304417,3.4215023213831355,10.0,0.699999988079071,2.1938347816467285,0.0
4,0.1261640296658084,18.79897961263735,3.306894366698973,10.0,0.699999988079071,2.1906776428222656,0.0
5,0.12940534108483315,19.15157811864145,3.692771151884336,10.0,0.699999988079071,2.1668612957000732,0.0
6,0.1111507144929582,16.625438538801816,3.1244874621384833,10.0,0.699999988079071,2.144256591796875,0.0
7,0.1187305191679297,17.646977792593425,3.333337560714028,10.0,0.699999988079071,2.1373798847198486,0.0
8,0.12890574608294744,19.115877109831544,3.5575012720137247,10.0,0.699999988079071,2.1863014698028564,0.0
9,0.12150662711202243,18.033894241684163,3.5086407955290415,10.0,0.699999988079071,2.144378900527954,0.0
10,0.11782398227443176,17.558532029601658,3.2080991928241267,10.0,0.699999988079071,2.173694133758545,0.0
11,0.12249223649908918,18.184911459412834,3.5060031190210332,10.0,0.699999988079071,2.1307687759399414,0.0
12,0.11950384947308074,17.776123861622942,3.2750588214996363,10.0,0.699999988079071,2.141408681869507,0.0
13,0.11732300234335082,17.541219058386467,3.15000391379848,10.0,0.699999988079071,2.161684513092041,0.0
14,0.1265256570778672,18.85955366810187,3.3072479746030115,10.0,0.699999988079071,2.1742780208587646,0.0
15,0.11978882177985586,17.81341105184838,3.370502355320493,10.0,0.699999988079071,2.1498847007751465,0.0
16,0.1228864242843748,18.255289410965478,3.4194145725015916,10.0,0.699999988079071,2.136056423187256,0.0
17,0.12768100055805112,18.885451658708835,3.613335924957327,10.0,0.699999988079071,2.110114336013794,0.0
18,0.1255902770805807,18.7145375072797,3.3012200567438543,10.0,0.699999988079071,2.1721062660217285,0.0
19,0.11422591304280776,17.143569222716952,3.008426667026107,10.0,0.699999988079071,2.1061272621154785,0.0
20,0.12599950317464872,18.693570082299917,3.5177219137009836,10.0,0.699999988079071,2.125227928161621,0.0
21,0.12156091426128098,18.127008819383576,3.298543829649783,10.0,0.699999988079071,2.1356911659240723,0.0
22,0.1284267238611117,19.08158424496998,3.4204512385519843,10.0,0.699999988079071,2.1464734077453613,0.0
23,0.12434365331251596,18.4810646240637,3.387168240192659,10.0,0.699999988079071,2.132418155670166,0.0
24,0.12867226866760667,19.09156096603646,3.4270796327815556,10.0,0.699999988079071,2.1448428630828857,0.0
