t,x,g_raw,g_ratio,alpha,gamma,loss,acc
0,785.4975980434201,138085.11308911815,9.977208808413687,620.1279972094019,0.7000000476837158,2.3744125366210938,0.0
1,31.245208922674912,5530.026951850267,134.62784834980118,1963.0729480401235,0.7000000476837158,3.6057913303375244,0.0
2,4470.079580587701,868115.0202891408,8.735108383428795,1.0,0.7000000476837158,1309.399169921875,0.0
3,0.02320549703775279,8.147885805187343,0.4449079133799063,2018.6636660279808,0.7000000476837158,6.619089126586914,0.0
4,8251.787065525883,1706782.1722892057,2.1057259290370802,1.0,0.7000000476837158,492491.1875,0.0
5,0.018798039520140405,6.225894400909415,0.47929258846485645,2018.6715134977464,0.7000000476837158,16.548860549926758,0.0
6,3858.6533874813995,768568.3388082458,3.4156522737106387,1.0,0.7000000476837158,335038.96875,0.0
7,0.024409495612011722,8.470364741361252,0.45266194341285826,2018.6615223107988,0.7000000476837158,39.592529296875,0.0
8,1339.1330790275508,0.0,inf,1.0,0.7000000476837158,1780.773681640625,0.0
9,0.024079553668816044,8.845686039211836,0.4230240787888458,2018.662109771804,0.7000000476837158,19.912700653076172,0.0
10,1966.1832294008482,376049.86018450494,7.761048308403313,1.0,0.7000000476837158,7130.4140625,0.0
11,0.02711873046786575,8.777955044812229,0.49234909741882005,2018.656698523267,0.7000000476837158,18.021419525146484,0.0
12,4198.612400474293,830981.3531046478,5.602584151779781,1.0,0.7000000476837158,148600.703125,0.0
13,0.023961309631032202,8.684876541326808,0.4292644798939025,2018.6623203050895,0.7000000476837158,32.65906524658203,0.0
14,2898.1561061075804,590905.5196138578,2.4445544046353085,1.0,0.7000000476837158,1020936.3125,0.0
15,0.026476602450360057,8.755801049545298,0.4776859198403201,2018.6578418309866,0.7000000476837158,31.515073776245117,0.0
16,681.1948651168517,85183.10861283664,685.9823664030715,805.8388157125655,0.7000000476837158,1424.4091796875,0.0
17,11.89646299535399,2156.158554276409,285.78528212733346,1997.5233535314376,0.7000000476837158,10.82014274597168,0.0
18,535.4765581051269,3034.771456648321,756.7869089740409,1065.289985463742,0.7000000476837158,1184.708740234375,0.0
19,29.97491198312855,1920.4492567762397,383.1287884081674,1965.3347093359785,0.7000000476837158,17.51487159729004,0.0
20,342.6940273735533,13927.689352199322,929.696492911034,1408.5389164431167,0.7000000476837158,829.0083618164062,0.0
21,176.28766670782576,30156.532372826572,523.0534264973834,1704.8251265573012,0.7000000476837158,51.556175231933594,0.0
22,223.16827689000732,44495.48732987963,585.2746447748076,1621.3542888852903,0.7000000476837158,25.903018951416016,0.0
23,150.5367321529528,3556.446043157901,622.3817601750384,1750.6746167789397,0.7000000476837158,99.44060516357422,0.0
24,3.7540850832552373,14.036652325143457,748.7839266277884,2012.02084198826,0.7000000476837158,4.843123435974121,0.0
25,375.97522456461166,39360.56734581927,661.2061178181182,1349.2818078545238,0.7000000476837158,1053.4407958984375,0.0
26,132.46643038553702,17123.1139390045,503.5313696630102,1782.8487548639746,0.7000000476837158,170.76849365234375,0.0
27,327.11436241893256,53726.43313657356,579.5796839058828,1436.2784803984027,0.7000000476837158,809.9701538085938,0.0
28,92.43256117441939,3056.0470330396943,544.3057717819491,1854.1289831996933,0.7000000476837158,192.87490844726562,0.0
29,337.0089014675535,0.00012877393464823657,806.6627321993913,1418.661272355306,0.7000000476837158,1560.6966552734375,0.0
30,93.36813614103417,2.6437974363118998e-05,612.5995731453344,1852.4631937429258,0.7000000476837158,34.36974334716797,0.0
31,369.6240390329793,0.0,inf,1360.5900816691255,0.7000000476837158,199.32945251464844,0.0
32,74.18780329893465,5.338215134438438e-06,438.30967429901295,1886.6137400548537,0.7000000476837158,167.3079376220703,0.0
33,12.686597415646444,2336.959194044924,574.139730302176,1996.1165206920398,0.7000000476837158,4.8433403968811035,0.0
34,401.5632559265729,57289.1532673942,626.1158217475735,1303.7223664594462,0.7000000476837158,2205.96826171875,0.0
35,8.918922232741238,1511.7118060716919,466.7040192620243,2002.8248592219993,0.7000000476837158,7.370903015136719,0.0
36,274.7266379569173,2.927401811354691e-14,inf,1529.5547246192373,0.7000000476837158,2134.69580078125,0.0
37,124.01159373068623,21668.982337930393,543.8039807600406,1797.9025755207,0.7000000476837158,17.870710372924805,0.0
38,12.596248865994456,2059.5580831269976,639.2312342924504,1996.2773861136416,0.7000000476837158,8.016119003295898,0.0
39,22.17211398851014,4176.717921628444,730.4501185375452,1979.2275763926414,0.7000000476837158,4.965353965759277,0.0
40,2849.106251592125,553780.6597138285,4.245526429510458,1.0,0.7000000476837158,7106.1318359375,0.0
41,0.02725385092729949,8.803738377906951,0.4928245411535464,2018.6564579415449,0.7000000476837158,28.403276443481445,0.0
42,8.583808481006248,0.0,inf,2003.4215286225049,0.7000000476837158,16.09242057800293,0.0
43,25.295821733817807,4664.397505674711,767.9914172456915,1973.665820666124,0.7000000476837158,10.390642166137695,0.0
44,58.737888364212054,11502.901859626281,707.0997036094651,1914.122284345362,0.7000000476837158,19.341630935668945,0.0
45,239.1062289553837,47697.97712274629,664.5831147804109,1592.9767954076358,0.7000000476837158,15.885930061340332,0.0
46,15.596392877788942,2948.618930171701,599.899957460353,1990.9356353807057,0.7000000476837158,4.485262870788574,0.0
47,3184.754853189575,629066.972920404,3.7716924265996856,1.0,0.7000000476837158,170962.390625,0.0
48,0.023684812151672775,8.673417138385219,0.4221425212737323,2018.6628126083278,0.7000000476837158,27.982311248779297,0.0
49,310.71942139086553,60390.97528331836,667.9786099403233,1465.4696418589274,0.7000000476837158,38.944862365722656,0.0
50,677.880612701303,131418.80000862436,18.94876789587912,811.7398358636958,0.7000000476837158,6146.0703125,0.0
51,12.87341255867187,2348.3691248547057,297.78611879811956,1995.7838966835734,0.7000000476837158,12.339217185974121,0.0
52,919.453972308034,457.59946986328737,778.6871714866263,381.6189264460145,0.7000000476837158,937.9287109375,0.0
53,4.151692994604995,652.549403325466,115.68751038752886,2011.3129018548782,0.7000000476837158,39.06751251220703,0.0
54,997.2568575320444,60904.279659635096,618.06416000516,243.0910366060525,0.7000000476837158,974.939697265625,0.0
55,5.004288979396469,735.6346835283359,92.416332156114,2009.7948563181462,0.7000000476837158,38.81098175048828,0.0
56,159.25742496866744,0.0,inf,1735.147439731132,0.7000000476837158,37.83564376831055,0.0
57,59.46991661198914,478.27664465858896,673.7416764078287,1912.8189094361176,0.7000000476837158,24.037321090698242,0.0
58,1102.8115951672737,241.3438690197332,745.0310164723128,55.15102608949314,0.7000000476837158,1525.1552734375,0.0
59,1.1592809256482126,166.2298057511401,20.059472014649927,2016.6408858782304,0.7000000476837158,55.448570251464844,0.0
60,6311.287757387962,1536844.3311758002,1.2790154762805568,1.0,0.7000000476837158,405372.21875,0.0
61,0.025454560803941404,8.794236604328857,0.452596750901659,2018.659661574203,0.7000000476837158,105.48309326171875,0.0
62,9.104802788497295,4.166124237707196e-16,inf,2002.4938992443967,0.7000000476837158,50.806114196777344,0.0
63,2567.084594557178,486291.9956730208,5.379493364023905,1.0,0.7000000476837158,374813.78125,0.0
64,0.0222064832050022,7.5610258564489765,0.4613432593341465,2018.6654447702185,0.7000000476837158,73.05940246582031,0.0
65,493.54675181582934,98505.8019569772,434.0931919381552,1139.9459261776506,0.7000000476837158,399.3975830078125,0.0
66,39.16412704626162,8.093522145630978e-09,444.8985236068761,1948.9733293136785,0.7000000476837158,235.802734375,0.0
67,701.4432273387215,90527.45885289356,413.5598707408415,769.786645112018,0.7000000476837158,2397.466552734375,0.0
