t,x,g_raw,g_ratio,alpha,gamma,loss,acc
0,113.44757449678892,0.0,inf,2000.0,0.699999988079071,1.6485120058059692,0.0
1,1113.3432234121137,207707.08340696426,8.20322411430578,2000.0,0.699999988079071,3.165051221847534,0.0
2,3870.182474610181,746612.7553706624,7.523051165932903,2000.0,0.699999988079071,231.0915069580078,0.0
3,5559.929384109714,1110782.4049532122,3.7695013088521705,2000.0,0.699999988079071,152274.03125,0.0
4,8498.659548537536,1722339.1659946588,2.2898795645844148,2000.0,0.699999988079071,918812.6875,0.0
5,5.79772353313897,0.72640428744314,727.8958909471203,2000.0,0.699999988079071,35.09454345703125,0.0
6,3774.1364378371263,774752.722581875,2.5994552212819486,2000.0,0.699999988079071,991694.375,0.0
7,2483.108645873292,492471.35229217366,6.081378951644326,2000.0,0.699999988079071,320873.8125,0.0
8,2792.2560717154397,567723.0313192437,2.663290874336194,2000.0,0.699999988079071,122204.96875,0.0
9,5662.525838793144,1214308.1392906362,1.9043300480211343,2000.0,0.699999988079071,1257498.75,0.0
10,200.659830569098,0.0,inf,2000.0,0.699999988079071,421.32861328125,0.0
11,1632.9533043870151,307549.02770578244,10.505276993249566,2000.0,0.699999988079071,47136.95703125,0.0
12,1524.546864711018,288565.80578069546,9.53591556141694,2000.0,0.699999988079071,17086.16796875,0.0
13,1780.1031872532803,342462.6639956031,12.578702563095346,2000.0,0.699999988079071,196703.640625,0.0
14,1446.5523124383888,278922.5129785633,6.924431559614449,2000.0,0.699999988079071,82819.9140625,0.0
15,1812.864393677762,353971.5794575101,539.5193017631,2000.0,0.699999988079071,4206.0166015625,0.0
16,405.4765994701407,0.0,inf,2000.0,0.699999988079071,1515.59033203125,0.0
17,357.6609462415133,2.382213621332915e-16,inf,2000.0,0.699999988079071,460.58917236328125,0.0
18,1797.4876571226857,354543.1575012581,468.6569098055197,2000.0,0.699999988079071,4325.2919921875,0.0
19,2515.955764041867,502562.3852858842,389.3298478752747,2000.0,0.699999988079071,6202.13134765625,0.0
20,572.2433279874934,0.0,inf,2000.0,0.699999988079071,2710.5146484375,0.0
21,1812.4886053926812,357212.8299366498,256.66785441266813,2000.0,0.699999988079071,4268.2470703125,0.0
22,1813.7077894649128,357653.56019295054,232.21856724144152,2000.0,0.699999988079071,3671.4736328125,0.0
23,415.08253692521083,0.0,inf,2000.0,0.699999988079071,1449.5413818359375,0.0
24,13.117089357261738,2215.4560450039035,654.1472565782573,2000.0,0.699999988079071,11.770856857299805,0.0
25,326.3333540147663,779.5046482875769,663.8585122526251,2000.0,0.699999988079071,433.6872863769531,0.0
26,9.827356044173865,7.566382797445405e-14,inf,2000.0,0.699999988079071,20.943511962890625,0.0
27,1799.8939600667215,359584.7803995307,173.65203256521966,2000.0,0.699999988079071,3496.498779296875,0.0
