t,x,g_raw,g_ratio,alpha,gamma,loss,acc
0,195.8791601379477,9.361058956835321e-11,22.264770146039154,2000.0,0.6999999284744263,1.6507359743118286,0.0
1,1139.6911499065407,213174.89266245946,9.496950177535766,2000.0,0.6999999284744263,5.58064603805542,0.0
2,1617.8550165995493,303430.20349021145,20.141881997796194,2000.0,0.6999999284744263,347.8003234863281,0.0
3,3407.115812885519,681322.733867472,3.1296726498967256,2000.0,0.6999999284744263,9023.541015625,0.0
4,4982.440782622885,972779.4761313715,4.640057011742726,2000.0,0.6999999284744263,125923.875,0.0
5,3004.1126331999703,581648.7160136863,4.8721142522083625,2000.0,0.6999999284744263,61860.19921875,0.0
6,1355.4699371842785,261480.80563759222,9.52499274435673,2000.0,0.6999999284744263,21108.662109375,0.0
7,3978.693705628827,784803.481058257,3.95604529120006,2000.0,0.6999999284744263,418287.59375,0.0
8,3680.625168568547,729141.6460208797,5.913883681295235,2000.0,0.6999999284744263,100401.8515625,0.0
9,865.4525943007845,9193.781911740385,833.800211358121,2000.0,0.6999999284744263,1630.89990234375,0.0
10,3157.222865157903,620741.3432822948,4.981208462199556,2000.0,0.6999999284744263,51182.1328125,0.0
11,7700.752339233483,1573849.8865381067,2.9220243683745366,2000.0,0.6999999284744263,666282.625,0.0
12,1772.4667478727079,342421.01692682673,7.142102742445733,2000.0,0.6999999284744263,1672.458984375,0.0
13,677.7714967805846,97485.59338844368,542.4109589354284,2000.0,0.6999999284744263,3397.751708984375,0.0
14,485.4816729196858,33413.15507595145,992.8848425145404,2000.0,0.6999999284744263,2438.440673828125,0.0
15,725.6182834594193,97775.80131488426,532.5701419589675,2000.0,0.6999999284744263,2141.3759765625,0.0
16,492.39405069150484,98314.72095250437,516.0848181491118,2000.0,0.6999999284744263,88.79430389404297,0.0
17,1889.584181683682,360672.1408359698,6.584141602946639,2000.0,0.6999999284744263,40890.36328125,0.0
18,324.2294442899263,1.3079754721958626e-15,inf,2000.0,0.6999999284744263,801.2930908203125,0.0
19,371.84228486906557,9.111569984697509,776.0402839934503,2000.0,0.6999999284744263,410.5332336425781,0.0
20,539.7302200710355,9113.497134939216,812.638959379957,2000.0,0.6999999284744263,1501.301025390625,0.0
21,699.7492417807005,98573.91584046072,495.6803424162254,2000.0,0.6999999284744263,855.7257080078125,0.0
22,294.7301817820779,17506.00820017108,778.4422138085145,2000.0,0.6999999284744263,25.97092056274414,0.0
23,503.0558553806739,100423.70761422387,483.6176649511692,2000.0,0.6999999284744263,53.2571907043457,0.0
24,409.59681502950815,2.0275436542329343e-06,627.9405917087457,2000.0,0.6999999284744263,511.0126647949219,0.0
25,410.31588159211424,4.3726087649757525e-07,629.3956978667998,2000.0,0.6999999284744263,372.9256286621094,0.0
26,327.2088977460146,1.3308670966346138e-07,629.6560677842652,2000.0,0.6999999284744263,231.3482208251953,0.0
27,279.44581252136294,25017.703245278295,727.7518588434989,2000.0,0.6999999284744263,30.350292205810547,0.0
28,483.2293064537293,0.0,inf,2000.0,0.6999999284744263,458.27655029296875,0.0
29,251.38582025579038,20053.009189455213,711.5712697928544,2000.0,0.6999999284744263,324.5157165527344,0.0
30,155.93120351190433,30967.261883326504,659.5876860496136,2000.0,0.6999999284744263,29.319042205810547,0.0
31,558.2710086825755,98090.82992346284,460.5640877861011,2000.0,0.6999999284744263,55.12138366699219,0.0
32,440.34654367108794,2620.2833614291953,705.0870128443081,2000.0,0.6999999284744263,883.1414794921875,0.0
33,483.23989240077293,96478.1701301079,444.2693243018752,2000.0,0.6999999284744263,24.76717185974121,0.0
34,313.20262965342823,1.6415818236817045e-12,inf,2000.0,0.6999999284744263,385.03680419921875,0.0
35,11.345347018984732,0.0,inf,2000.0,0.6999999284744263,22.87484359741211,0.0
36,408.8048036516722,13740.315426226023,416.80495069082514,2000.0,0.6999999284744263,376.8278503417969,0.0
37,336.68607977471675,23780.41328367017,498.2754992510032,2000.0,0.6999999284744263,350.3125915527344,0.0
38,6645.789353335407,1412985.619489512,2.1886871828627363,2000.0,0.6999999284744263,441549.5625,0.0
39,5117.959427261678,1020015.7424152766,3.493464462706011,2000.0,0.6999999284744263,1455373.375,0.0
40,2072.338781254646,396653.73652181023,4.361210105271546,2000.0,0.6999999284744263,159856.4375,0.0
41,8825.887130027697,2160200.3056870643,1.2542231603804217,2000.0,0.6999999284744263,1785014.375,0.0
42,2888.8182517637956,570472.6084663008,4.113060625908186,2000.0,0.6999999284744263,928826.5,0.0
43,8.03756821713304,1.5403692474574248e-17,inf,2000.0,0.6999999284744263,44.582828521728516,0.0
