t,x,g_raw,g_ratio,alpha,gamma,loss,acc
0,383122255383.06055,158858557765563.4,0.5543364313230164,100000.0,0.0,2.2366931642751778e+22,0.0
1,29641259575028.625,1.1471228829220996e+16,0.5168037265745845,100000.0,0.0,5.117291351004167e+26,0.0
2,1765852002477810.2,9.821165099003334e+17,0.4085475902802764,100000.0,0.0,6.956659661351897e+30,0.0
3,6359936426663400.0,8.065124159681089e+17,0.5377365694314603,100000.0,0.0,2.3484810578481317e+31,0.0
4,4727276561524335.0,1.0628764598188877e+18,0.46548042393888583,100000.0,0.0,5.012630539299773e+31,0.0
5,9384052127030098.0,3.585358380168664e+18,0.49216856803870596,100000.0,0.0,8.623623779072444e+31,0.0
6,8874011838948.78,5131980979437044.0,0.3667511993240155,100000.0,0.0,1.8050158555886538e+28,0.0
7,3.2886350953325576e+16,0.0,inf,100000.0,0.0,1.31511476875948e+33,0.0
8,13042430301329.225,0.0,inf,100000.0,0.0,3.0207272672143508e+29,0.0
9,4142255707844270.0,2.0254003087536218e+18,0.41312755490089986,100000.0,0.0,1.2681304954215836e+32,0.0
10,1253770565341657.8,0.0,inf,100000.0,0.0,4.527312588289087e+31,0.0
11,1.92288407818519e+16,7.064558488006215e+18,0.47190321988481976,100000.0,0.0,5.04480373049421e+32,0.0
12,6936435179494313.0,3.304464598880497e+18,0.44364672601863214,100000.0,0.0,1.8683534605943458e+32,0.0
13,7.948097380447474e+16,inf,0.0,100000.0,0.0,1.9934641298115425e+34,0.0
14,1.5936504658745014e+16,9.469381742823166e+18,0.31834870458009656,100000.0,0.0,1.0547701756538304e+33,0.0
15,567087630815.1594,0.0,inf,100000.0,0.0,4.0101509758394525e+28,0.0
16,2.6252959695359507e+17,0.0,inf,100000.0,0.0,2.3670649015295678e+34,0.0
17,6949642050350844.0,2.73494614826299e+18,0.5551523419840652,100000.0,0.0,1.7004284030047068e+33,0.0
18,5082745116526.101,0.0,inf,100000.0,0.0,3.389702572145635e+29,0.0
