t,x,g_raw,g_ratio,alpha,gamma,loss,acc
0,0.41093197946797344,22.85399097943544,4.56337326607892,100000.0,0.0,2.1689040660858154,0.0
1,0.5573808387114801,22.83187731453924,4.813421691488977,100000.0,0.0,2.1519036293029785,0.0
2,0.5495942460060755,22.823522722366178,4.730602322862165,100000.0,0.0,2.1390089988708496,0.0
3,0.45889513436666196,22.815068629353732,4.67312507864054,100000.0,0.0,2.155402660369873,0.0
4,0.6202404536112036,22.826032237880256,4.525102835629004,100000.0,0.0,2.130100965499878,0.0
5,0.42894171534932723,22.833007657987192,4.549167445655778,100000.0,0.0,2.1779747009277344,0.0
6,0.5392326653508751,22.80995714998858,4.768985445976366,100000.0,0.0,2.0950751304626465,0.0
7,0.37839309635638535,22.833799449395663,4.563497348436053,100000.0,0.0,2.1924571990966797,0.0
8,0.4004223435183811,22.82431420911574,4.63645045317622,100000.0,0.0,2.1704068183898926,0.0
9,0.5365572343391151,22.811336327536647,4.868071913077054,100000.0,0.0,2.09067964553833,0.0
10,0.5253149190985792,22.81454707645633,4.7286891570751735,100000.0,0.0,2.0919134616851807,0.0
11,0.3813772039552981,22.84787453231638,4.35380395808118,100000.0,0.0,2.203664779663086,0.0
12,0.40293605667834265,22.812246581772257,4.697360670685852,100000.0,0.0,2.137329339981079,0.0
13,0.5176453095817373,22.83040133522321,4.448307719191273,100000.0,0.0,2.1000945568084717,0.0
14,0.4546112638486265,22.830395213991263,4.5283808246577655,100000.0,0.0,2.1859359741210938,0.0
15,0.4670820368371175,22.79454751483885,4.814937861042093,100000.0,0.0,2.082444190979004,0.0
16,0.446901271392122,22.81394158963668,4.7737839779024,100000.0,0.0,2.1248931884765625,0.0
17,0.48202429877312614,22.79267007911524,4.824922097930746,100000.0,0.0,2.0480470657348633,0.0
18,0.5661766598153062,22.804416897639484,4.609901198682775,100000.0,0.0,2.0319979190826416,0.0
19,0.5666230892423574,22.814173782404247,4.6714637441457185,100000.0,0.0,2.01985764503479,0.0
20,0.4331603482488828,22.832625752843203,4.509097025955662,100000.0,0.0,2.138399124145508,0.0
21,0.48026674258643304,22.815099114387543,4.594063288046433,100000.0,0.0,2.066409111022949,0.0
22,0.4872412480224863,22.79081688744483,4.6605652707999985,100000.0,0.0,2.039121150970459,0.0
23,0.42320508968160603,22.79344810969053,4.927823744586621,100000.0,0.0,2.068338632583618,0.0
24,0.5699919556505426,22.801570756761894,4.797994089858064,100000.0,0.0,2.046698570251465,0.0
25,0.5263507817017145,22.796735196175412,4.738265460562799,100000.0,0.0,2.0111141204833984,0.0
26,0.5054514961507554,22.797628433441055,4.623312543640929,100000.0,0.0,2.0504050254821777,0.0
27,0.5508684528295952,22.765751934813505,4.674142451745282,100000.0,0.0,1.9508006572723389,0.0
28,0.5030899042645048,22.842427713856498,4.375287621190331,100000.0,0.0,2.13492488861084,0.0
29,0.44602723816068945,22.83253119729506,4.441785373142787,100000.0,0.0,2.1043500900268555,0.0
30,0.4353757495239937,22.803295167210507,4.61885481335235,100000.0,0.0,2.073744773864746,0.0
31,0.5263237835765346,22.761956958968508,4.9100177703426855,100000.0,0.0,1.9049121141433716,0.0
32,0.4021443174301313,22.82012572489787,4.405611779794416,100000.0,0.0,2.148491382598877,0.0
33,0.39919613189274605,22.813950214488635,4.552513792970963,100000.0,0.0,2.0838613510131836,0.0
34,0.49506781846152437,22.787808129607576,4.744573866638563,100000.0,0.0,1.96619713306427,0.0
35,0.40398662050008255,22.849799164668504,4.3074209368643,100000.0,0.0,2.212519645690918,0.0
36,0.4899096710796558,22.80594369519224,4.549522361473398,100000.0,0.0,2.0156848430633545,0.0
37,0.49245805810158955,22.757577452690196,4.920491727094039,100000.0,0.0,1.926499843597412,0.0
38,0.3890807157165066,22.822598482142453,4.505487352098557,100000.0,0.0,2.1726536750793457,0.0
39,0.48871788940368627,22.757380065951338,4.917796251379511,100000.0,0.0,1.9619176387786865,0.0
40,0.34639306837948347,22.87182929003638,4.228848784481612,100000.0,0.0,2.21688175201416,0.0
41,0.5163412776975391,22.835903201413856,4.342235304362859,100000.0,0.0,1.9882612228393555,0.0
42,0.5383535937927619,22.788635028541666,4.643615101459165,100000.0,0.0,1.8874002695083618,0.0
43,0.4650584781037076,22.930430608147173,3.981303272245769,100000.0,0.0,2.2701406478881836,0.0
44,0.40621708185797584,22.781004616611064,4.739798377381648,100000.0,0.0,2.059054374694824,0.0
45,0.4566232870716526,22.888049422180018,4.139868716902525,100000.0,0.0,2.129087448120117,0.0
46,0.44935224418036124,22.76159665479503,4.878411339652697,100000.0,0.0,1.9601585865020752,0.0
