t,x,g_raw,g_ratio,alpha,gamma,loss,acc
0,173.0330632062931,3019972.69055191,12329.959373700322,109502.3017227056,0.009999998845160007,8.005220413208008,0.25
1,166.0881076275124,2402268.4848483577,11435.357532143697,109011.20876552272,0.009999998845160007,3.1164426803588867,0.5
2,153.9327553936486,59254.22928159139,16882.956633232483,108151.67729603912,0.009999998845160007,1.3317683935165405,1.0
3,160.135636380266,2288089.5450182394,10043.831225375237,108590.2965402109,0.009999998845160007,2.886115312576294,0.5
4,160.83994686297115,34959.50693344406,15938.181243358102,108640.09987067184,0.009999998845160007,6.155331611633301,1.0
5,162.48772992374532,1693943.6468456583,15037.898381582288,108756.6182050128,0.009999998845160007,3.5566835403442383,0.75
6,162.7678112090751,683621.6565441433,14155.62353764692,108776.42336360653,0.009999998845160007,3.212759017944336,0.75
7,162.48487405235377,1692794.6187259005,16406.613114479576,108756.41626011753,0.009999998845160007,2.642396926879883,0.75
8,160.92194120659647,80838.2032326588,11836.057095436383,108645.89786955412,0.009999998845160007,2.3452742099761963,1.0
9,173.29494596537026,2251935.2896823795,11826.060896523335,109520.82002381372,0.009999998845160007,4.414647102355957,0.5
10,169.6176990346525,1959630.5435198077,14250.169689016288,109260.79387260039,0.009999998845160007,6.028871536254883,0.75
11,155.0534707998207,2188249.4397637034,12183.084514455562,108230.92552689304,0.009999998845160007,2.002687454223633,0.75
12,171.5886554142358,1551404.5140538865,16332.063183637903,109400.16449721395,0.009999998845160007,4.362091541290283,0.5
13,157.16553206758658,17424.080660671123,11567.514303641807,108380.27398592533,0.009999998845160007,1.6301069259643555,1.0
14,157.5548782551766,2224745.1124812947,18035.306309233718,108407.80550408445,0.009999998845160007,4.200229644775391,0.75
15,165.3683895949655,1424973.0013225728,13514.135903440745,108960.3159336058,0.009999998845160007,2.2148003578186035,0.75
16,171.24156188667826,3217835.5063502956,11759.076624152953,109375.62075680644,0.009999998845160007,4.63674783706665,0.25
17,168.3372777534594,2459565.992439308,14050.906250241434,109170.25249097627,0.009999998845160007,2.306839942932129,0.25
18,161.23445601479304,808629.0825669186,16373.359278022293,108667.99647329315,0.009999998845160007,3.3358383178710938,0.75
19,164.00249056725826,1403265.990513135,16957.39325371333,108863.7302340832,0.009999998845160007,2.8905153274536133,0.5
20,157.4646574883366,1394580.5005900417,8819.55387304244,108401.42579687334,0.009999998845160007,1.2673823833465576,0.75
21,170.25029432223,2198150.636909964,10445.824600812353,109305.52606519002,0.009999998845160007,4.455201148986816,0.5
22,167.92958856541128,2226844.1285896157,15009.021523332363,109141.42389924535,0.009999998845160007,2.86470890045166,0.25
23,156.47371621202853,5.36455134022793,10359.69496172239,108331.354177803,0.009999998845160007,0.8342804908752441,1.0
24,165.9296530983025,1441526.1214344,13077.15646329807,109000.00410014423,0.009999998845160007,4.128489017486572,0.75
25,164.66462750316902,2640926.7400131198,9967.647594703958,108910.55138106216,0.009999998845160007,6.398626804351807,0.5
26,164.0423528168955,2238260.1234095395,17984.241193054764,108866.54898070185,0.009999998845160007,2.859612464904785,0.5
27,163.50184022932513,9468.853073698867,15617.46231818806,108828.32815667879,0.009999998845160007,2.2194883823394775,1.0
28,163.4739687131615,3512598.297983084,11959.191654094999,108826.35730097802,0.009999998845160007,6.148591995239258,0.5
