t,x,g_raw,g_ratio,alpha,gamma,loss,acc
0,44.51382693253494,2364.955947752232,421.0015282566046,1414.4248196152807,0.009999999776482582,2.109071969985962,0.25
1,54.82399923636865,4106.267806194858,680.285767804671,2143.477159639212,0.009999999776482582,1.9060741662979126,0.5
2,73.16010001046119,30299.250615238132,194.37412190165634,3440.058514666234,0.009999999776482582,2.0992605686187744,0.25
3,102.48023941511663,21097.35232234008,684.6326122842476,5513.342608555096,0.009999999776482582,2.094632625579834,0.75
4,116.17344236689041,96130.57577680683,631.8666549506926,6481.615626718062,0.009999999776482582,4.123278617858887,0.5
5,106.68408309830924,19423.852062438444,1471.9024411242956,5810.604573147752,0.009999999776482582,1.406739592552185,1.0
6,125.67924023181868,98985.24069367413,478.2963194253808,7153.789085414142,0.009999999776482582,3.847219467163086,0.5
7,122.11496682506336,75672.3394340857,825.3336177206328,6901.752379227011,0.009999999776482582,1.97922682762146,0.5
8,121.24416488808711,16977.22996954931,1221.3940574560527,6840.176280288893,0.009999999776482582,3.015237808227539,1.0
9,112.01229896570987,49104.697678029865,1463.0954018456416,6187.373082131511,0.009999999776482582,1.5523426532745361,0.75
10,110.0450164985172,70760.14246599813,762.3545089322917,6048.262711913782,0.009999999776482582,1.7776951789855957,0.75
11,106.92736174870925,86827.1009881394,642.5415331823463,5827.807279768478,0.009999999776482582,1.8553581237792969,0.75
12,111.59113744803106,71997.22951662769,599.6914096267525,6157.591931929239,0.009999999776482582,2.11458420753479,0.75
13,118.76744147333024,26397.21690817037,786.3590691620793,6665.042349651366,0.009999999776482582,3.7542943954467773,0.75
14,107.77048870918509,11730.16614882396,1450.26084251804,5887.426427282009,0.009999999776482582,1.5275704860687256,1.0
15,113.72778829710745,257012.61052191263,293.8178323525693,6308.6786699029635,0.009999999776482582,23.798856735229492,0.75
16,120.81102557319898,41141.710169808845,998.9278573043819,6809.5481567454935,0.009999999776482582,4.440434455871582,0.75
17,127.52786199660878,160856.76633116623,438.72935668212784,7284.50872653384,0.009999999776482582,5.290617942810059,0.5
18,126.14089503519845,182040.85679725368,824.0516863905102,7186.43359462008,0.009999999776482582,4.046831130981445,0.5
19,142.34480930168704,175722.8036192186,657.0330946869943,8332.243893943396,0.009999999776482582,5.16431999206543,0.25
20,119.88796194959895,9353.464991229977,1157.8120597564648,6744.276532281338,0.009999999776482582,1.4716904163360596,1.0
21,108.35928140923626,317.2520435702804,1102.320868840826,5929.061104483445,0.009999999776482582,4.045112609863281,1.0
22,122.656176273178,38647.682189066356,1295.3429134377307,6940.022352120124,0.009999999776482582,2.5396130084991455,0.75
23,111.06496467556379,72238.01434224538,672.1717897015593,6120.385231622057,0.009999999776482582,2.493457317352295,0.75
24,117.0634099415283,137369.7517281618,476.1699562342679,6544.546965178227,0.009999999776482582,3.765280246734619,0.75
25,117.69031220660392,537.7251197122481,1242.293338491941,6588.876443857233,0.009999999776482582,3.83034348487854,1.0
26,128.23743245561064,122806.3302474752,622.2813751860959,7334.683834020144,0.009999999776482582,2.8747122287750244,0.25
27,131.107616946438,45835.27361313589,1026.78099498019,7537.6401627480345,0.009999999776482582,4.600308895111084,0.75
28,139.72409002171057,174900.61724172396,992.8692644214492,8146.927735560454,0.009999999776482582,4.12377405166626,0.5
29,125.74890633355378,41948.72087899562,1278.75636059802,7158.715310989581,0.009999999776482582,3.6093294620513916,0.75
30,120.21359737100293,37848.20553164861,793.3726668334226,6767.302846388714,0.009999999776482582,1.9702434539794922,0.75
31,120.47534160157417,614.7738025048196,918.5051457456406,6785.811290104517,0.009999999776482582,2.038841485977173,1.0
32,100.61493026491924,1.2839860908816392,667.5839046673126,5381.44296995121,0.009999999776482582,1.0678455829620361,1.0
33,108.46840432997921,1264.0376760907122,880.6968833880974,5936.777398486438,0.009999999776482582,1.802178144454956,1.0
34,124.94786876586382,131596.98627225083,421.88965070726005,7102.072386316605,0.009999999776482582,2.3252692222595215,0.5
35,128.77326731024593,169058.08381242183,757.5103004459353,7372.573758953113,0.009999999776482582,2.952401638031006,0.5
36,122.69455759024356,9731.682679658128,1400.729088857994,6942.736369713161,0.009999999776482582,1.7124991416931152,1.0
37,115.03967474588318,97004.90120294534,499.68477895926685,6401.444712713904,0.009999999776482582,2.4142205715179443,0.75
38,110.31918029576971,63188.595427966284,445.550147393415,6067.6493673494515,0.009999999776482582,1.9247190952301025,0.75
39,109.68592157885587,970.77738972387,744.2747717139031,6022.870411595732,0.009999999776482582,2.3874521255493164,1.0
40,101.22770712086762,190.26899173139375,680.8858815694507,5424.773613472615,0.009999999776482582,1.4015307426452637,1.0
41,106.0539410099257,57192.26145450936,777.9811009437459,5766.0460002602,0.009999999776482582,1.8804965019226074,0.75
42,97.57199946052704,62.78726250495757,901.9459294752983,5166.271413347047,0.009999999776482582,1.209470272064209,1.0
43,103.57084956180591,29713.33407739474,886.0447519979641,5590.461773595822,0.009999999776482582,1.7468276023864746,0.75
44,94.0936587129245,150.22474000853853,739.0056226810802,4920.311172653757,0.009999999776482582,1.3465341329574585,1.0
45,113.95744957453353,28991.049557752664,979.7159371201953,6324.918465590771,0.009999999776482582,4.820028305053711,0.75
