t,x,g_raw,g_ratio,alpha,gamma,loss,acc
0,161.415417776109,773518.3302783133,5747.770984445126,50000.0,0.009999999776482582,2.9000203609466553,0.75
1,156.49712004759587,530961.8270615129,6494.284823678323,50000.0,0.009999999776482582,2.234593391418457,0.75
2,156.27304800100694,800819.8975057304,5673.433519882348,50000.0,0.009999999776482582,2.2624917030334473,0.5
3,149.75981331405637,287497.8671761486,7165.966859964964,50000.0,0.009999999776482582,2.5205633640289307,0.75
4,155.31113264606412,461202.99271176365,6654.016028089194,50000.0,0.009999999776482582,2.8030614852905273,0.75
5,153.07646513302103,932603.0490987966,5399.321337789795,50000.0,0.009999999776482582,2.060065746307373,0.5
6,152.27781318210754,533882.5224225698,7649.634908498253,50000.0,0.009999999776482582,2.1370532512664795,0.75
7,158.36056842363672,1082064.1315863456,5001.26662077649,50000.0,0.009999999776482582,3.191494941711426,0.25
8,153.90389181358825,643760.6794908842,4803.129554628314,50000.0,0.009999999776482582,3.411956787109375,0.75
9,152.76752084512756,106108.93786309057,5286.036642362911,50000.0,0.009999999776482582,2.6795897483825684,1.0
10,155.48142584897235,610446.6034202005,6666.952917638972,50000.0,0.009999999776482582,1.975921869277954,0.75
11,151.08955726632374,209714.04117527636,7629.401738687143,50000.0,0.009999999776482582,1.7759660482406616,1.0
12,148.52475192335052,484511.2282577052,6691.593264521479,50000.0,0.009999999776482582,1.6609009504318237,0.75
13,152.00446477808038,43234.565840512834,8136.371310476424,50000.0,0.009999999776482582,2.513195276260376,1.0
14,152.7043894502485,430505.1855003755,6537.883617076692,50000.0,0.009999999776482582,1.7245796918869019,0.5
15,157.4188518806569,1312775.3154124732,4566.082088559304,50000.0,0.009999999776482582,1.8226243257522583,0.75
16,150.68885978317988,513107.1172685507,6020.787177782858,50000.0,0.009999999776482582,3.315756320953369,0.75
17,153.1661212657761,1031993.8468595936,5666.0527165501735,50000.0,0.009999999776482582,2.4395437240600586,0.5
18,162.10494217926933,673527.8536720813,4103.93294615976,50000.0,0.009999999776482582,4.536725044250488,0.75
19,163.81808103216548,683616.0000889901,6229.773467274693,50000.0,0.009999999776482582,3.766704559326172,0.25
20,158.68493505482482,707157.6747969047,5658.907925977642,50000.0,0.009999999776482582,3.4035778045654297,0.5
21,152.7146005863957,225332.85065186027,6346.441686684843,50000.0,0.009999999776482582,2.7557291984558105,0.75
22,143.20889290963999,3177.620355538342,6610.43541339672,50000.0,0.009999999776482582,1.1772236824035645,1.0
23,143.43991250869303,449868.15597103146,4362.182334675318,50000.0,0.009999999776482582,1.7617223262786865,0.75
24,149.67088533885303,426029.2794329039,5250.510507465467,50000.0,0.009999999776482582,4.067245006561279,0.75
25,143.8586931920978,626622.7666192631,5792.803342575438,50000.0,0.009999999776482582,6.771750450134277,0.75
26,152.15848353782235,8793.774894878477,5493.5438194592925,50000.0,0.009999999776482582,3.9028189182281494,1.0
