t,x,g_raw,g_ratio,alpha,gamma,loss,acc
0,138.2721002330761,152826.3789891962,735.2034243899393,10000.0,0.009999998845160007,2.5131075382232666,0.75
1,127.69895280977362,14817.555942657367,1002.6825430564156,10000.0,0.009999998845160007,2.2164788246154785,1.0
2,124.27441816865701,122872.49037588957,873.3057533836859,10000.0,0.009999998845160007,2.2591562271118164,0.75
3,133.63201990399875,23564.67013466214,1352.9436609030306,10000.0,0.009999998845160007,2.403852701187134,1.0
4,134.91151522825547,111166.29836220662,1188.9761285589425,10000.0,0.009999998845160007,2.6254725456237793,0.5
5,129.4589438894953,143543.8713616649,1069.1338377477916,10000.0,0.009999998845160007,3.4030165672302246,0.5
6,135.38103610816069,208696.12416966737,745.727335215348,10000.0,0.009999998845160007,2.8294284343719482,0.5
7,120.33033314668677,24762.710011449853,979.2253888629763,10000.0,0.009999998845160007,1.3612947463989258,1.0
8,145.8022045278099,133785.04207668404,1284.0753936910824,10000.0,0.009999998845160007,2.5536460876464844,0.25
9,146.64997108726138,197680.89258002545,1109.04781938393,10000.0,0.009999998845160007,3.7073426246643066,0.0
10,135.1594488049556,144590.11765882547,847.799019244992,10000.0,0.009999998845160007,1.920295238494873,0.75
11,140.34121358297796,81763.80693976325,1751.6443202234311,10000.0,0.009999998845160007,2.616126537322998,0.75
12,145.9667251152362,158057.87126300737,1489.58011135967,10000.0,0.009999998845160007,2.622357130050659,0.5
13,128.10612106773655,94421.42148456747,869.4515411153371,10000.0,0.009999998845160007,4.770419120788574,0.5
14,128.37373287537602,131433.4607666891,699.3935509872723,10000.0,0.009999998845160007,5.111845970153809,0.75
15,133.54342785870944,102274.2807795314,1360.5622476999004,10000.0,0.009999998845160007,2.1030349731445312,0.5
16,129.3238217768718,22665.89019393584,1612.5983313183376,10000.0,0.009999998845160007,1.4866892099380493,1.0
17,123.81395814876213,86660.5199828182,1290.4278871576237,10000.0,0.009999998845160007,1.6349554061889648,0.75
18,130.01604001399383,120907.9695767981,1372.842278229278,10000.0,0.009999998845160007,2.029850959777832,0.75
19,142.1393258231559,261582.565423324,661.2651429872732,10000.0,0.009999998845160007,6.081096172332764,0.5
20,125.20064747502096,145860.9108528932,1163.1865587207442,10000.0,0.009999998845160007,1.9185562133789062,0.75
21,136.82037259726076,188556.1685232482,912.1969485117047,10000.0,0.009999998845160007,2.644502639770508,0.25
22,137.51649392296332,116766.29568776177,888.28937214096,10000.0,0.009999998845160007,10.210236549377441,0.75
23,136.11375471884762,116697.85156575487,831.4117795094513,10000.0,0.009999998845160007,2.399919033050537,0.75
24,121.42311945923505,14099.693664390084,989.3615576422783,10000.0,0.009999998845160007,1.5553133487701416,1.0
25,117.62859162630048,151072.73060885406,998.0825966725512,10000.0,0.009999998845160007,1.499169111251831,0.75
26,138.82709616275548,102872.42376176684,1174.8681570484223,10000.0,0.009999998845160007,2.339306354522705,0.5
27,127.82397689048332,4559.280490429481,1262.2494746640648,10000.0,0.009999998845160007,1.9493529796600342,1.0
28,139.13964075343327,168103.18898526017,985.0244250840376,10000.0,0.009999998845160007,2.4043169021606445,0.5
29,120.79586819451337,562418.9161679791,699.7436504034623,10000.0,0.009999998845160007,10.513350486755371,0.75
30,137.01627529243152,225109.20087403114,915.1428687561616,10000.0,0.009999998845160007,4.870004177093506,0.5
31,139.5585074240159,120349.60169647708,1301.3882819791295,10000.0,0.009999998845160007,21.242382049560547,0.75
32,133.19937417955308,199910.74720333787,710.6422313653532,10000.0,0.009999998845160007,4.3642096519470215,0.5
33,139.07130243323977,153008.84690305224,1041.3103545393647,10000.0,0.009999998845160007,8.832452774047852,0.5
34,119.97289429411435,112354.5215575016,1290.740620006669,10000.0,0.009999998845160007,1.7903473377227783,0.75
35,146.6906599638303,121987.83096651532,1397.1553957678912,10000.0,0.009999998845160007,3.768065929412842,0.5
36,141.6950672088328,54059.46169145611,1137.5879304186567,10000.0,0.009999998845160007,3.3675079345703125,1.0
37,142.86945874460454,260330.33431769506,756.9536375660573,10000.0,0.009999998845160007,4.823243618011475,0.5
38,134.05764554933697,192259.8942745177,590.3306626815838,10000.0,0.009999998845160007,3.2285375595092773,0.5
39,132.44165071758238,117687.94055485979,1333.4377610571398,10000.0,0.009999998845160007,4.8241376876831055,0.75
40,125.82662735594522,219614.23203196377,673.8050475422716,10000.0,0.009999998845160007,2.5625367164611816,0.75
41,145.9379809102093,143667.7431058189,1010.0467815683497,10000.0,0.009999998845160007,3.5392723083496094,0.75
42,124.05138714582887,126639.19428924232,1367.5850514904562,10000.0,0.009999998845160007,1.6077814102172852,0.75
43,127.58804560263937,72807.62163567278,1312.7514837175424,10000.0,0.009999998845160007,2.0333995819091797,0.75
44,123.74929743135216,76519.88109043545,1417.0888684102672,10000.0,0.009999998845160007,1.4269723892211914,0.75
45,126.27116117031726,124712.65801385308,1158.2112900846587,10000.0,0.009999998845160007,2.891709804534912,0.5
46,135.09963184311337,121046.97163249506,918.9609818569609,10000.0,0.009999998845160007,2.4451513290405273,0.5
47,126.82606032682304,135107.0961096289,867.6604321226931,10000.0,0.009999998845160007,2.676997661590576,0.75
48,132.69920668035277,89847.65021803055,1253.1195604047887,10000.0,0.009999998845160007,2.1909854412078857,0.75
49,138.10205963430707,198915.02773265535,844.5807576330824,10000.0,0.009999998845160007,3.605386257171631,0.25
50,135.57840988465128,198354.40340337885,834.2388949843875,10000.0,0.009999998845160007,3.941411256790161,0.5
51,134.38888059865968,47020.70515317463,2051.1167524758307,10000.0,0.009999998845160007,2.597405433654785,1.0
52,131.9358787134325,1464.491209237653,1043.824829513107,10000.0,0.009999998845160007,1.5830607414245605,1.0
53,125.1941793325027,864.2920165942711,1230.5652304371597,10000.0,0.009999998845160007,1.3787966966629028,1.0
54,130.7765141327665,23947.321559100823,1112.083714785423,10000.0,0.009999998845160007,1.9477356672286987,1.0
55,137.67992427684132,178527.35677811393,1194.6523626076394,10000.0,0.009999998845160007,3.0491435527801514,0.75
56,135.99798132167072,151335.10730177246,1028.203794004473,10000.0,0.009999998845160007,2.8167641162872314,0.5
57,127.58527938407217,1651.8539126509327,1035.9928834420461,10000.0,0.009999998845160007,3.410980463027954,1.0
58,112.49736313959475,584.1951198873998,1416.540314321881,10000.0,0.009999998845160007,1.2324384450912476,1.0
59,126.7125912148043,1095.617388582462,1286.8208036993112,10000.0,0.009999998845160007,4.317902088165283,1.0
60,117.66071877405716,822.12630521368,1002.4926221021268,10000.0,0.009999998845160007,1.9326637983322144,1.0
61,124.90967776422235,176410.42270910266,872.2216150922312,10000.0,0.009999998845160007,2.141183853149414,0.75
62,131.27664843618123,83910.5877264309,1460.844610861954,10000.0,0.009999998845160007,2.4173712730407715,0.75
63,112.81469472264894,153.65006657470613,1148.4797842098433,10000.0,0.009999998845160007,1.0643231868743896,1.0
